mid,name,name yomigana,artist,artist yomigana,music ascii,simplified chinese,original artist,aka1,aka2,aka3,aka4,aka5,aka6,aka7
,,,,,,,,,,,,,,
411,wander+wonder+wand,wandaawandaawando,uma,yuuma,wander wonder wand uma,,,,,,,,,
412,WAVE WAVE WAVE,ueibuueibuueibu,ZYTOKINE feat. itori,tsuaitokainfiicharinguitori,wave wave wave zytokine,,,,,,,,,
413,柳の下のデュラハン hard chaos mix,yanaginoshitanodeyurahanhaadokeiasumikkusu,albel.,aruberu,yanaginoshita albel,柳树下的杜拉罕,,,,,,,,
414,Mist In Hell,misutoinheru,LUNA,runa,mist in hell luna,,,,,,,,,
415,幻想浄瑠璃-Aya2g Tech Dance Remix-,gensoujoururiayatsugutekkudansurimikkusu,Ayatsugu_Otowa,ayatsuguotowa,gensoujoururi ayatsugu otowa,幻想净琉璃,,,,,,,,
416,Attack on Dwarf,atakkuondowaafu,unatra,unatora,attack on dwarf unatra,,,进击的小人,,,,,,
417,Frantic Wolf,furanteikkuurufu,Jerico,jieriko,frantic wolf jerico,,,,,,,,,
418,werewolf howls.,ueaurufuhauruzu,かめりあ,kameria,werewolf howls camellia,,,人狼,,,,,,
419,Mist Tek,misutotekku,you,yuu,misttek you,,,,,,,,,
420,Little princess has no identity.,ritorupurinsesuhazunooaidenteiteii,0kash,okashu,little princess 0kash,,,,,,,,,
421,Pristine Bigband,purisuteinbiggubando,Y*Quartet project,yozakarutettopurojiekuto,pristine bigband yquartet,,,,,,,,,
422,Wave of Craze,ueebuobukureizu,Shiron,shiron,wave of craze shiron,,,,,,,,,
423,Flying!,furaingu,Tracy feat.築山さえ,toreeshiifiicharingutsukiyamasae,flying tracy,,,,,,,,,
424,ゼンマイ恋時計（T.E.B Summer Mix),zenmaikoidokei,A-One,eewan,zenmai koi dokei aone,发条恋爱怀表,,恋时计,,,,,,
425,SPARKING 2012,supaakingu,IRON ATTACK!,aian'atakku,sparking2012 ironattack,,,,,,,,,
426,竹取飛翔,taketorihishou,岸田教団＆THE明星ロケッツ,kishidakyoudan'andojiakeboshirokettsu,taketorihishou kishidakyodan,竹取飞翔,,,,,,,,
427,Mami Mami Zone,mamimamizoon,REDALiCE feat. 野宮あゆみ,reddoarisufiicharingunomiyaayumi,mamimamizone redalice,,,妈咪妈咪粽,,,,,,
428,Phantasm Brigade,fantazumuburigeido,Silver Forest,shirubaaforesuto,phantasm brigade silverforest,,,,,,,,,
429,少女暴動,shoujoboudou,Last Note.,rasutonooto,shoujoboudou lastnote,少女暴动,,,,,,,,
430,終点,shuuten,cosMo＠暴走P,kosumoattobousoupii,syuuten cosmo,终点,,,,,,,,
431,Rebirth,ribaasu,164 feat. GUMI,ichirokuyonfiicharingugumi,rebirth 164,,,,,,,,,
432,患部で止まってすぐ溶ける ～ 狂気の優曇華院,kanbudetomattesugutokerukyoukinoudongein,ARM(IOSYS),aamu,kanbudestop arm,放在患处很快就会溶解 ~ 狂气的优昙华院,,,,,,,,
433,ってゐ！ ～えいえんてゐVer～,tsuteieienteibaajon,石鹸屋,sekkenya,tei sekkenya,,,,,,,,,
434,NEXT BILLIONAIRE,nekusutobirionea,SOUND HOLIC feat. Nana Takahashi,saundohorikkufiicharingunanatakahashi,next billionaire soundholic,,,,,,,,,
435,夕立、君と隠れ処,yuudachikimitokakurega,幽閉サテライト (Arranged:Iceon) feat. senya,yuuheisateraitoarenjidoaisuonfiicharingusenya,yuudachi yuuhei,夕立，你和藏身之处,,,,,,,,
436,八雲藍の唯心論,yakumorannoyuishinron,君の美術館,kiminobijutsukan,yakumoran kiminobijutsukan,八云蓝的唯心论,,,,,,,,
437,#FairyJoke #SDVX_Edit,feariijookuesudiibuiekkusueditto,uno(IOSYS),uno,fairyjoke uno,,,妖精玩笑|妖精笑话,,,,,,
438,Lemures Prelude,remureesupureryuudo,EastNewSound,iisutonyuusaundo,lemures prelude ens,,,,,,,,,
439,信仰は儚き人間の為に ～ Arr.Demetori,shinkouhahakanakiningennotameni,Demetori,demetori,sinkouha hakanaki demetori,信仰是为了虚幻之人,,,,,,,,
440,Get out of my sight,gettoautoobumaisaito,void(IOSYS) feat. 厚志(石鹸屋)&周平(Silently Shooting Traitors),voidofiicharinguatsushiandoshuuhei,getoutofmysight void,,,,,,,,,
441,マスパでシュッ☆メイドウィッチまりさちゃん,masupadeshutsumeidouitchimarisachan,ARM(IOSYS) feat. 桃井はるこ,aamufiicharingumomoiharuko,masupadesyu arm,,,,,,,,,
442,幻想系世界修復少女,gensoukeisekaishuufukushoujo,Last Note.,rasutonooto,gensoukei lastnote,幻想系世界修复少女,,,,,,,,
443,バンブーソード・ガール,banbuusoodogaaru,cosMo＠暴走P,kosumoattobousoupii,bamboosword cosmo,,,竹刀少女,腱鞘炎,,,,,
444,Idola,idora,iconoclasm feat.GUMI,aikonokurazumufiicharingugumi,idola iconoclasm,,,,,,,,,
445,shiny rainbow flower,shainiireinboofurawaa,C-YA,shiiya,shiny rainbow flower cya,,,,,,,,,
446,始まりへと続く帰り道,hajimarihetotsuzukukaerimichi,たちのん,tachinon,hajimarieto touch,向着开始延续的归途,,,,,,,,
447,I love you even now,airabuyuuiibunnau,nana(Sevencolors),nanasebunkaraazu,i love you nana,,,,,,,,,
448,City Edge,shiteiejji,winddrums,uindodoramusu,city edge winddrums,,,,,,,,,
449,憂恋☆アクティベーション,urekoiakuteibeeshon,u-z,yuuji,urekoi uz,忧恋,,,,,,,,
450,VILE CAT,vairukyatto,TAKU1175,takuiinago,vile cat taku1175,,,,,,,,,
451,ドキドキ☆流星トラップガール!!,dokidokiryuuseitorappugaaru,流星トラップボーイズ,ryuuseitorappubooizu,dokidoki ryuusei ryuusei trap,心动流星,,,,,,,,
452,アルテミス,arutemisu,FILTER SYSTEM,firutaashisutemu,artemis filter system,,,,,,,,,
453,further the future,faazaazafuyuuchaa,上村香月,uemurakatsuki,further the future uemurakatsuki,,,,,,,,,
,,,,,,,,,,,,,,
455,second spring storm,sekandosupuringusutoomu,Spacelectro,supeesurekutoro,second spring spacelectro,,,,,,,,,
456,断片Story,danpensutoorii,Salk2d,sookutsuudii,danpen story salk2d,断片Story,,断手Story,,,,,,
457,Baby Sherry,beibiishierii,ぺのれり,penoreri,baby sherry penoreri,,,,,,,,,
458,sweet dream,suuiitodoriimu,平茸＋夕野ヨシミ＋山本椛,hiratakeyuunoyoshimiyamamotomomiji,sweet dream aftergrow,,,,,,,,,
459,Opium and Purple haze,opiumuandopaapuruheizu,D.watt(OTAKU-ELITE Recordings),diiwatto,opium and purple haze dwatt,,,鸦片,,,,,,
460,コミカルなミシャグジとラジエーション(PUNK IT ver.),komikarunamishagujitorajieeshon,void & ARM feat. ななひら & ちよこ,voidoandoaamufiicharingunanahiraandochiyoko,comical voidarm,,,,,,,,,
461,シャ ビ ドゥ 素敵な恋の魔法,shabidousutekinakoinomahou,ARM feat. ちよこ(IOSYS),aamufiicharinguchiyoko,syabido arm,美妙的恋爱魔法,,,,,,,,
462,Jump!,janpu,Syrufit feat.綾倉盟 / 市松椿,shirufittofiicharinguayakurameiichimatsutsubaki,jump syrufit,,,,,,,,,
463,THUNDERCRACK,sandaakurakku,IRON ATTACK!,aian'atakku,thundercrack ironattack,,,,,,,,,
464,メイガスナイト ～ Arr.Demetori,meigasunaito,Demetori,demetori,magusnight demetori,,,,,,,,,
465,無気力クーデター,mukiryokukuudetaa,Last Note.,rasutonooto,mukiryoku lastnote,无力的暴动,,无气力,,,,,,
466,有頂天ビバーチェ,uchoutenbibaache,Last Note.,rasutonooto,utyouten lastnote,活泼的狂喜,,有顶天,,,,,,
467,僕は空気が嫁ない,bokuhakuukigayomenai,cosMo＠暴走P,kosumoattobousoupii,bokuhakuuki cosmo,我不会察言观色,,空气,,,,,,
468,悪性ロリィタマキャヴェリズム,akuseiroriitamakyaberizumu,かいりきベア,kairikibea,akusei kairikibear,恶性萝莉权力主义,,,,,,,,
469,幸せになれる隠しコマンドがあるらしい,shiawaseninarerukakushikomandogaarurashii,うたたP feat. 結月ゆかり,utatapiifiicharinguyuzukiyukari,siawaseninareru utatap,似乎有着能变得幸福的隐藏指令,,幸隐|性瘾,,,,,,
470,イグジスタンス,igujisutansu,スズム,suzumu,existence suzumu,,,,,,,,,
471,しゅわスパ大作戦☆ - SDVX Edit. -,shuwasupadaisakusensaundoborutekkusuedishon,SOUND HOLIC feat. Nana Takahashi,saundohorikkufiicharingunanatakahashi,syuwasupa soundholic,,,大作战,,,,,,
472,物凄い狂っとるフランちゃんが物凄いうた,monosugoikuruttorufuranchangamonosugoiuta,Halozy feat. ななひら,harojiifiicharingunanahira,monosugoikuruttoru halozy,超厉害的芙兰唱的超厉害的歌,,物凄狂,三倍冰激凌|三倍ice cream,,,,,
473,最速最高シャッターガール,saisokusaikoushattaagaaru,ビートまりお（COOL&CREATE）,biitomario,saisoku saiko beatmario,,,,,,,,,
474,最果てのコトバ,saihatenokotoba,幽閉サテライト (Arranged:Iceon) feat. senya,yuuheisateraitoarenjidoaisuonfiicharingusenya,saihate yuuheisatellite,最后的言词,,,,,,,,
475,SkyDrive!,sukaidoraibu,Amateras Records feat.築山さえ,amaterasurekoozufiicharingutsukiyamasae,skydrive amateras,,,,,,,,,
476,リズの内心革命,rizunonaishinkakumei,じっぷす,jippusu,rizno naisin jippusu,莉兹的内心革命,,,,,,,,
477,Scene,shiin,ジミーサムＰ,jimiisamupii,scene jimisamup,,,,,,,,,
478,キリトリセン,kiritorisen,40mP,yonjuumeetorupii,kiritorisen 40mp,,,,,,,,,
479,Sakura Mirage,sakuramiraaju,Ryu☆,ryuu,sakuramirage ryu,,,,,,,,,
480,ミライプリズム,miraipurizumu,ここなつ,kokonatsu,mirai prism kokonatsu,,,,,,,,,
481,ナキムシロボ,nakimushirobo,ラムネ(村人P),ramunemurabitopii,nakimushirobo ramune,,,,,,,,,
482,ぼくらのタイムカプセル,bokuranotaimukapuseru,ラムネ(村人P),ramunemurabitopii,bokurano ramune,,,,,,,,,
483,白い雪のプリンセスは,shiroiyukinopurinsesuwa,のぼる↑,noboru,whitesnow noboru,白雪公主,,,,,,,,
484,鎖の少女,kusarinoshoujo,のぼる↑,noboru,kusarinoshoujo noboru,锁之少女,,,,,,,,
485,ナイフ,naifu,パワーコードP,pawaakoodopii,knife powerchord,,,,,,,,,
486,MEGANE,megane,Ultra-Noob,urutoranuubu,megane ultranoob,,,,,,,,,
487,ハウトゥー世界征服,hautouusekaiseifuku,Neru,neru,howto sekaiseifuku neru,,,,,,,,,
488,飛花落葉,hikarakuyou,なつめ千秋,natsumechiaki,hikarakuyou natsumechiaki,飞花落叶,,,,,,,,
489,しんでしまうとはなさけない！,shindeshimautohanasakenai,ワンダフル☆オポチュニティ！,wandafuruopochunitei,shinde wonderful opportunity,,,,,,,,,
490,月見夜ラビット,tsukimiyorabitto,蝶々P,chouchoupii,tsukimiyo chocho,赏月之夜的兔子,,月夜见,,,,,,
491,About me,abautomii,蝶々P,chouchoupii,about me chocho,,,,,,,,,
492,Cleopatrysm,kureopatorizumu,ピラミッ℃,piramiddo,cleopatrysm pylamid,,,,,,,,,
493,御千手メディテーション,osenjumediteeshon,昇天家族,shoutenkazoku,osenju shoutenkazoku,千手冥想,,,,,,,,
494,KHAMEN BREAK,kaamenbureiku,くふおー,kufuoo,khamen break khufuoh,,,埃及,,,,,,
495,INSECTICIDE,insekuteisaido,Camellia,kameria,insecticide kameria,,,杀虫剂|杀我剂,,,,,,
496,FIRE FIRE(Kazmasa Remix),faiafaiakazumasarimikkusu,Kazmasa,kazumasa,firefire kazmasa,,kors k,火火电气,海澜之家,,,,,
497,FIRE FIREは電気スウィングの夢を見るか？,faiafaiahadenkisuuingunoyumewomiruka,millstones,mirusutoonzu,firefire millstones,,kors k,火火,,,,,,
498,FIRE FIRE -DARK BLAZE REMIX-,faiafaiadaakubureizurimikkusu,Yooh,yuu,firefire yooh,,kors k,火火,,,,,,
499,"gigadelic (かめりあ's ""The TERA"" RMX)",gigaderikkukameriazuzaterarimikkusu,かめりあ,kameria,gigadelic kameria,,kors k,八秒真男人|8秒真男人,,,,,,
500,gigadelic -stance xxxx-,gigaderikkusutansufooekkusu,Hate,heito,gigadelic hate,,kors k,八秒真男人|8秒真男人,,,,,,
501,gigadelic(m3rkAb4# R3m!x),gigaderikkumerukabaarimikkusu,ikaruga_nex,ikaruga,gigadelic ikaruga,,kors k,八秒真男人|8秒真男人,,,,,,
502,Monkey Business(Band Edit.),monkiibijinesubandoeditto,daph,dafu,monkey business daph,,kors k,,,,,,,
503,Monkey Business (lapix Remix),monkiibijinesurapisurimikkusu,lapix,rapisu,monkey business lapix,,kors k,,,,,,,
504,Monkey Business -Satire mix-,monkiibijinesusataiamikkusu,LeaF,riifu,monkey business leaf,,kors k,,,,,,,
505,Our Faith (takdrive remix),awaafeisutakudoraiburimikkusu,takdrive,takudoraibu,our faith takdrive,,kors k,,,,,,,
506,Our Faith (Faithful MTL Remix),awaafeisufeisufurumetarurimikkusu,DOUBLE HELIX,daburuherikkusu,our faith double helix,,kors k,,,,,,,
507,Pure Evil (Kobaryo FTN-Remix),pyuaiibirukobaryooefuteiienurimikkusu,Kobaryo,kobaryoo,pure evil kobaryo,,kors k,纯恶,,,,,,
508,Pure Evil-Aya2g Drm'n Tech Rmx-,pyuaiibiruayatsugudoramuntekkurimikkusu,Ayatsugu_Otowa,ayatsuguotowa,pure evil ayatsugu,,kors k,纯恶,,,,,,
509,The Sampling Paradise (N-Driver Style),zasanpuringuparadaisuenudoraibaasutairu,N-Driver,enudoraibaa,the sampling paradise ndriver,,kors k,采样天堂,,,,,,
510,The Sampling Paradise (P*Light Remix),zasanpuringuparadaisupiraitorimikkusu,P*Light,piraito,the sampling paradise plight,,kors k,采样天堂,,,,,,
511,The Wind of Gold (folkcore remix),zauindoobugoorudofookukoarimikkusu,borzy,boojii,the wind of gold borzy,,kors k,黄金之风,,,,,,
512,The Wind of Gold -HΔPPY MIX-,zauindoobugoorudohappiimikkusu,sky_delta,sukaideruta,the wind of gold sky delta,,kors k,黄金之风,,,,,,
513,The Wind of Gold(飛翔鳶 Remix),zauindoobugoorudohishouenrimikkusu,飛翔鳶交響楽団,hishouenkoukyougakudan,the wind of gold hishouen,,kors k,黄金之风,,,,,,
514,Virtual Sunrise (xac remix),baacharusanraizusakkurimikkusu,xac,sakku,virtual sunrise xac,,kors k,,,,,,,
515,Virtual Sunrise (nana's Festival EDM Remix) feat. Kanae Asaba,baacharusanraizunanazufesuteibaruiidiiemurimikkusufiicharingukanaeasaba,nana(Sevencolors),nanasebunkaraazu,virtual sunrise nana,,kors k,,,,,,,
516,Virtual Sunrise (MYTK Remix),baacharusanraizumaitakerimikkusu,MYTK,maitake,virtual sunrise mytk,,kors k,,,,,,,
517,Wuv U(pico/ustic rmx),wavuyuupikousuteikkurimikkusu,kamome sano,kamomesano,wuvu kamome,,kors k,,,,,,,
518,Wuv U (Colorful QT3 nekomix),wavuyuukarafurukyuuteiisuriinekomikkusu,ねこみりん feat.えみゅう。×みゆ×小宮真央,nekomirinfiicharinguemyuumiyukomiyamao,wuvu nekomirin,,kors k,,,,,,,
519,Wuv U -More2 HAPPY Re-Mix Special-,wavuyuumoamoahappiirimikkususupesharu,Yu_Asahina,yuuasahina,wuvu yuasahina,,kors k,,,,,,,
520,Find the Answer,faindojiansaa,みゅー feat. ゆいこんぬ,myuufiicharinguyuikonnu,find the answer myu,,,,,,,,,
521,はわわｗ！な展開っ！,hawawanatenkai,かねこちはる feat. 紫崎 雪,kanekochiharufiicharingushizakiyuki,hawawa kanekochiharu,,,展开,,,,,,
522,Seraphim,serafimu,Yooh,yuu,seraphim yooh,,,,,,,,,
523,君がいる場所へ,kimigairubashohe,VALLEYSTONE feat. 紫崎 雪,bariisutoonfiicharingushizakiyuki,kimigairu valleystone,向着有你在的地方,,场所,,,,,,
524,Hustle Beat!!,hassurubiito,とろまる,toromaru,hustle beat toromaru,,,,,,,,,
525,Growth Memories,gurousumemoriizu,Hidra-Xjeil,haidora,growth memories hidra,,,增长记忆,大先生,,,,,
526,TU-MA-MI△ALL-NIGHTER,tsumamioorunaitaa,xi underground,saiandaaguraundo,tumami allnighter xi,,,,,,,,,
527,My name is TSUMABUKI,maineemuizutsumabuki,KO3,komi,mynameistsumabuki ko3,,,,,,,,,
528,twilight signal,towairaitoshigunaru,XIzE,saizu,twilight signal xize,,,,,,,,,
529,F.K.S.,efukeeesu,Nizikawa,nijikawa,fks nizikawa,,,,,,,,,
530,Twin Blaster,tsuinburasutaa,polysha+tcheb,porishapurasuchebu,twinblaster polysha,,,,,,,,,
531,Violet Soul,baiorettosouru,Soleily,soreirii,violet soul soleily,,,,,,,,,
532,INF-B《L-aste-R》,infinittoburasutaa,かねこちはる,kanekochiharu,infblaster kanekochiharu,,,,,,,,,
533,Princessどうかお願い!!,purinsesudoukaonegai,20文字と言う字数制限に挑み続けるかぼち,nijuumojitoiujisuuseigenniidomitsuzukerukabochi,princess kabocha,Princess无论如何拜托了,,,,,,,,
534,トリコロール・ダイアリー,torikoroorudaiarii,梅干茶漬け,umeboshichazuke,tricolore umeboshi,,,,,,,,,
535,きらきらタイム☆,kirakirataimu,さわわ,sawawa,kirakira time sawawa,,,,,,,,,
536,ちぇいす いん ざ さんしゃいん！！！,cheisuinzasanshain,ぺのれり,penoreri,chase in the shine penoreri,,,,,,,,,
537,CUTIE☆EX-DREAM,kyuuteiiiiekkusudoriimu,BlackY,burakkii,cutie exdream blacky,,,,,,,,,
538,Twin Rocket,tsuinroketto,uno feat.ちよこ(IOSYS),unofiicharinguchiyokoioshisu,twin rocket uno,,,二踢脚,,,,,,
539,Happy Sensation,happiisenseishon,IckPo,ikupo,happy sensation ickpo,,,,,,,,,
540,Wish upon Twin Stars,uisshuapontsuinsutaa,xi,sai,milkyway xi,,,双星,,,,,,
541,Milkyway - memorable -,mirukiiueimemoraburu,こふ,kofu,milkyway kofu,,,,,,,,,
542,CODE -CRiMSON-,koodokurimuzon,Shiron,shiron,code crimson shiron,,,红代码,,,,,,
543,Warriors Aboot,uoriaazuabuuto,RoughSketch vs MAD CHILD,rafusuketchibuiesumaddochairudo,warriors aboot roughsketch,,,,,,,,,
544,Poison Blood,poizunburaddo,udouddo,udouddo,poison blood udouddo,,,,,,,,,
545,感情Xerography,kanjouzerogurafii,8284 feat. 榎楠,yatsuhashifuyuucharingukanan,kanjo xerography 8284,,,,,,,,,
546,AYAKASHI,ayakashi,Hommarju,omaaju,ayakashi hommarju,,,,,,,,,
547,紅の剣舞,kurenainokenbu,かねこちはる,kanekochiharu,kurenainokenbu kanekochiharu,红之剑舞,,,,,,,,
548,Appliqué,appurike,モリモリあつし,morimoriatsushi,applique morimoriatsushi,,,,,,,,,
549,Sourire,suuriiru,とろまる,toromaru,sourire toromaru,,,,,,,,,
550,The setting sun,zasetteingusan,DJ YASETAKA,diijieiyasetaka,the setting sun yaseta,,,,,,,,,
551,Firestorm,faiaasutoomu,ETIA.,iisha,frestorm etia,,,火暴|火爆,梁山手法|梁山好汉,,,,,
552,朱と碧のランページ,akatoaonoranpeeji,NU-KO,nuuko,akatoao nuko,红与蓝的冲撞,,,,,,,,
553,打打打打打打打打打打,dadadadadadadadadada,ヒゲドライバー join. SELEN,higedoraibaajoinseren,da10 higedriver,,,十打,,,,,,
554,キミヱゴサーチ,kimiegosaachi,ここなつ,kokonatsu,kimiego kokonatsu,,,,,,,,,
555,双翼 - Black Wings - SDVX Edit. -,souyokuburakkuuingususaundoborutekkusuedishon,SOUND HOLIC feat. 709sec. & YURiCa,saundohorikkufiicharingunanamarukyuusekkuandoyurika,souyoku soundholic,,,,,,,,,
556,Scream out! (SDVX EDIT),sukuriimuautosaundoborutekkusueditto,A-One,eewan,screamout aone,,,,,,,,,
557,囲い無き世は一期の月影,kakoinakiyohaichigonotsukikage,豚乙女,butaotome,kakoinaki butaotome,无边世界乃一袭月影,,,,,,,,
558,弾幕注意報2014,danmakuchuuihounisenjuuyon,東京アクティブNEETs,toukyouakuteibuniitsu,danmakuchuui tokyoactive,弹幕注意报2014,,,,,,,,
559,君色サブリミナル(Arranged: Iceon),kimiirosaburiminaruarenjidoaisuon,幽閉サテライト feat. senya,yuuheisateraitofiicharingusenya,kimiiro yuuhei,,,,,,,,,
560,Paranoia,paranoia,DiGiTAL WiNG feat.花たん,dejitaruuingufiicharinguhanatan,paranoia digital wing,,,,,,,,,
561,Pieces,piishizu,発熱巫女～ず,hatsunetsumikoozu,pieces hatunetumiko,,,,,,,,,
562,Liminality,riminaritei,FELT,feruto,liminality felt,,,,,,,,,
563,Innocent Eyes,inosentoaizu,FELT,feruto,innocent eyes felt,,,,,,,,,
564,The Starry true,zasutaariitouruu,Liz Triangle,rizutoraianguru,the starry true liztriangle,,,,,,,,,
565,木彫り鯰と右肩ゾンビ,kiborinamazutomigikatazonbi,赤飯,sekihan,kiborinamazu sekihan,木雕鲇鱼与右肩僵尸,,沙雕鲇鱼,,,,,,
566,シリョクケンサ,shiryokukensa,40mP,yonjuumeetorupii,shiryokukensa 40mp,,,,,,,,,
567,ツギハギスタッカート,tsugihagisutakkaato,とあ,toa,tsugihagi toa,,,,,,,,,
568,星屑ユートピア,hoshikuzuyuutopia,otetsu,otetsu,hoshikuzu otetsu,,,,,,,,,
569,Just Be Friends,jasutobiifurenzu,Dixie Flatline,dikishiifurattorain,just be friends dixie,,,,,,,,,
570,Crazy ∞ nighT,kureijiinaito,ひとしずく×やま△,hitoshizukukakeruyamasankakkei,crazy night hitosizuku,,,,,,,,,
571,心臓デモクラシー,shinzoudemokurashii,みきとP,mikitopii,sinzou mikitop,,,心脏,,,,,,
572,深海シティアンダーグラウンド,shinkaishiteiandaaguraundo,田中B,tanakabii,shinkai city tanakab,,,,,,,,,
573,気まぐれスターダム,kimaguresutaadamu,TOKOTOKO(西沢さんP) feat.りぶ,tokotokonishizawasanpiifiicharinguribu,kimagure stardom tokotoko,心血来潮stardom,,,,,,,,
574,あれこれそれどれ,arekoresoredore,YM feat.赤飯,waiemufiicharingusekihan,arekoresoredore ym,,,,,,,,,
575,脱獄,datsugoku,Neru feat.灯油,nerufiicharingutouyu,datugoku neru,脱狱,,,,,,,,
576,鬼KYOKAN,onikyoukan,じーざす（ワンダフル☆オポチュニティ！） feat. kradness×れをる,jiizasuwandafuruopochuniteikuratoddonesureworu,onikyokan kradness,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
579,ポメグラネイト,pomeguraneito,ここなつ,kokonatsu,pomegranate kokonatsu,,,,,,,,,
580,Vampire's Territory,vanpaiaazuteritorii,u-z,yuuji,vampires territory uz,,,,,,,,,
581,Borealis,borearisu,ginkiha,ginkiha,borealis ginkiha,,,,,,,,,
582,bloom,buruumu,Gowrock,gaurokku,bloom gowrock,,,,,,,,,
583,ぼくらしかしらない,bokurashikashiranai,ぬゆり,nuyuri,bokurashika nuyuri,只有我们知道,,,,,,,,
584,零れる夢のレミニセンス,koboreruyumenoreminisensu,borzy & 結月そら,boojiiandoyuizukisora,koboreruyumeno borzy,散落的梦的回忆,,零梦,,,,,,
585,瞬間ドリップ♪秘蜜のケーキセット,shunkandorippuhimitsunokeekisetto,そよもぎ,soyomogi,syunkandrip soyomogi,瞬间滴落 秘密的点心,,,,,,,,
586,The willow and snow,zauirouandosunoo,saminun,saminun,the willow and snow saminun,,,,,,,,,
587,Discloze,disukuroozu,lapix,rapisu,discloze lapix,,,,,,,,,
588,Lovesick Lovetune,rabushikkurabuchuun,VALLEYSTONE feat. 紫崎 雪,bariisutoonfiicharingushizakiyuki,lovesick valleystone,,,,,,,,,
589,One & Only,wan'andoonrii,Salk2d,sookutsuudii,one and only salk2d,,,,,,,,,
590,disco KAWAii,disukokawaii,uno feat.ちよこ(IOSYS),unofiicharinguchiyokoioshisu,disco kawaii uno,,,,,,,,,
591,Hyper☆Chipspace,haipaachippusupeesu,Saiph,saifu,hyper chipspace saiph,,,,,,,,,
592,6弦とピアノのためのエチュード op.4,rokugentopianonotamenoechuudooopasufoo,ke-ji,keeji,rokugentopiano keji,为六弦乐器与钢琴所作的练习曲 op.4,,六弦,,,,,,
593,Pon-Pon-Pompoko Dai-Sen-Saw!,ponponponpokodaisensou,黒魔,kuroma,pon pon pompoko kuroma,,,,,,,,,
594,macaron,makaron,colate,koreeto,macaron colate,,,,,,,,,
595,Shanghai Wu Long ～上海舞龍～,shanhaiuuron,Hommarju,omaaju,shanghai wu long hommarju,上海舞龙,,,,,,,,
596,Belly Flopper,beriifuroppaa,O2i3,ooniisan,belly flopper o2i3,,,,,,,,,
597,tricky trick,torikkiitorikku,kamome sano,kamomesano,tricky trick kamome sano,,,,,,,,,
598,Pet Peeve,pettopiivu,Hirayasu Matsudo,hirayasumatsudo,pet peeve hirayasu,,,锅贴,,,,,,
599,Never Regret Anything,nebaarigurettoenishingu,影虎。,kagetora,never regret kagetora,,,,,,,,,
600,UnivEarth,yunibaasu,Antinomic Paradox,anchinomikkuparadokkusu,univearth antinomic paradox,,,,,,,,,
601,Liming Light,raiminguraito,negi,negi,liming light negi,,,,,,,,,
602,ハナビラ:リンクス,hanabirarinkusu,かゆき＆yoa feat.もちこまめ,kayukiandoyoafiicharingumochikomame,hanabira links kayuki,,,,,,,,,
603,Le ××××,re,Orange Vox+ ft.konomi*,orenjibokkusufuyuucharingukonomi,lexxxx orange vox,,,,,,,,,
604,Rubeus,rubeusu,RedMuffleR,reddomafuraa,rubeus redmuffler,,,,,,,,,
605,New Days,nyuudeizu,10calorie,tenkarorii,new days 10calorie,,,,,,,,,
606,Innocent Floor,inosentofuroa,P*Light,piraito,innocent floor plight,,,,,,,,,
607,Scarlet Pinheel,sukaarettopinhiiru,ぺのれり,penoreri,scarlet pinheel penoreri,,,,,,,,,
608,ドゥンガドゥンガ狂詩曲,doungadoungarapusodii,かねこちはる + はぁち + 飛鳥男,kanekochiharuhaachiasukaotoko,bungabunga kanekochiharu,,,狂诗曲,,,,,,
609,好きトキメキとキス,sukitokimekitokisu,かねこちはる feat. はぁち,kanekochiharufiicharinguhaachi,sukitokimeki kanekochiharu,喜欢的心动与吻,,,,,,,,
610,veRtrageS,vaatoreijisu,Riz vs. Shiron,rizubaasasushiron,vertrages riz,,,,,,,,,
611,じゅーじゅー❤焼肉の火からフェニックス！？～再誕の†炭火焼き～,juujuuyakinikunohikarafenikkususaitannosumibiyaki,かめりあ feat. ななひら,kameriafiicharingunanahira,juujuu yakiniku kameria,再诞烤肉|烧肉,,,,,,,,
612,Le Fruit Défendu,rufuryuidefendeyu,モリモリあつし+Verdammt,morimoriatsushipurasufeadamuto,le fruit morimoriatsushi,,,,,,,,,
,,,,,,,,,,,,,,
614,BOUNCE BOUNCE BOUNCE,baunsubaunsubaunsu,ZYTOKINE feat. itori,tsuaitokainfiitoitori,bounce zytokine,,,,,,,,,
615,Witch in Sweetsland,uitchiinsuuiitsurando,COOKIE MONSTERS(winddrums+黒魔),kukkiimonsutaazu,witch in cookie monsters,,,,,,,,,
616,Cold Inflation,koorudoinfureeshon,kanone vs. Yooh,kanonebuiesuyuu,cold inflation kanone,,,,,,,,,
617,ネメシス SDVX Edit,nemeshisusaundoborutekkusueditto,Larca,raruka,nemesis larca,,,,,,,,,
618,恋愛方程式,ren'aihouteishiki,パピ子りんft.ビタミンな兄貴♂＆ゆずり,papikorinfiicharingubitaminnaanikiandoyuzuri,renai papikorin,恋爱方程式,,,,,,,,
619,ON FIRE,onfaia,ニシジマユーキ,nishijimayuuki,on fire nishijima,,,,,,,,,
620,ギャラクシィ・トラベラー,giyarakushiitoraberaa,U-ske feat.ななひら,yuusukefiicharingunanahira,galaxy traveler uske,,,,,,,,,
